Frame,Time,PELO_X,PELO_Y,PELO_Z,PELP_X,PELP_Y,PELP_Z,LKJC_X,LKJC_Y,LKJC_Z,LHJC_X,LHJC_Y,LHJC_Z,LAJC_X,LAJC_Y,LAJC_Z,RHJC_X,RHJC_Y,RHJC_Z,RKJC_X,RKJC_Y,RKJC_Z,RAJC_X,RAJC_Y,RAJC_Z,LTOO_X,LTOO_Y,LTOO_Z,RTOO_X,RTOO_Y,RTOO_Z,TRXO_X,TRXO_Y,TRXO_Z,TRXP_X,TRXP_Y,TRXP_Z
81,0.81,217.776870727539,-1372.19152832031,907.547424316406,231.14811706543,-1353.4521484375,1040.84228515625,153.054428100586,-1219.20153808594,507.245056152344,151.206085205078,-1361.52624511719,912.927795410156,186.288589477539,-1211.28149414062,81.762809753418,284.347625732422,-1382.85668945312,902.1669921875,307.84228515625,-1489.95666503906,471.486846923828,287.497406005859,-1794.97631835938,223.767654418945,170.27653503418,-1051.34350585938,74.7407608032227,298.689270019531,-1759.20166015625,65.0137939453125,208.943923950195,-1303.7333984375,1435.93286132812,217.209213256836,-1321.78894042969,1271.24304199219
82,0.82,217.559646606445,-1358.91662597656,910.306396484375,230.258010864258,-1340.26440429688,1043.67919921875,152.738739013672,-1211.83959960938,506.967895507812,150.959075927734,-1348.27844238281,915.361267089844,186.135147094727,-1211.13891601562,81.6330184936523,284.160217285156,-1369.55505371094,905.251403808594,307.513366699219,-1460.810546875,472.203704833984,286.061614990234,-1771.34252929688,234.298965454102,170.290618896484,-1051.19067382812,74.4652938842773,301.938873291016,-1734.947265625,76.0865020751953,208.995162963867,-1290.37707519531,1438.64123535156,217.036483764648,-1308.22375488281,1274.08044433594
83,0.83,217.330169677734,-1345.69799804688,913.009521484375,229.35302734375,-1327.12194824219,1046.45556640625,152.340805053711,-1204.92883300781,506.703918457031,150.696105957031,-1335.12133789062,917.742248535156,185.984786987305,-1210.94226074219,81.5186614990234,283.964233398438,-1356.27453613281,908.276733398438,307.120635986328,-1431.7861328125,473.338165283203,284.692687988281,-1746.48168945312,243.015197753906,170.245010375977,-1050.99145507812,74.1812591552734,304.745910644531,-1709.07861328125,85.5135498046875,209.053359985352,-1277.10510253906,1441.28356933594,216.869781494141,-1294.7373046875,1276.83447265625
84,0.84,217.08837890625,-1332.53405761719,915.655883789062,228.433349609375,-1314.02478027344,1049.17053222656,151.862091064453,-1198.46398925781,506.454711914062,150.41716003418,-1322.05407714844,920.069763183594,185.837203979492,-1210.68981933594,81.4165267944336,283.759552001953,-1343.01403808594,911.242065429688,306.692169189453,-1402.92993164062,474.909149169922,283.3642578125,-1720.44860839844,249.917526245117,170.142303466797,-1050.74328613281,73.8885650634766,307.149017333984,-1681.59008789062,93.2900238037109,209.118515014648,-1263.91723632812,1443.86010742188,216.709579467773,-1281.32946777344,1279.505859375
85,0.85,216.834350585938,-1319.42370605469,918.243835449219,227.499221801758,-1300.9736328125,1051.82275390625,151.303970336914,-1192.43518066406,506.222076416016,150.122497558594,-1309.07482910156,922.342102050781,185.690948486328,-1210.37963867188,81.32470703125,283.546173095703,-1329.77209472656,914.145385742188,306.258148193359,-1374.30749511719,476.925384521484,282.067718505859,-1693.30090332031,255.026336669922,169.985015869141,-1050.4443359375,73.5859375,309.169769287109,-1652.49450683594,99.4364395141602,209.190475463867,-1250.81286621094,1446.36901855469,216.555648803711,-1268,1282.09326171875
86,0.86,216.568481445312,-1306.36511230469,920.769836425781,226.551513671875,-1287.96850585938,1054.40881347656,150.668182373047,-1186.82580566406,506.008209228516,149.812622070312,-1296.18273925781,924.55615234375,185.543304443359,-1210.00952148438,81.2430114746094,283.324340820312,-1316.54748535156,916.983337402344,305.847534179688,-1346.00134277344,479.380218505859,280.807861328125,-1665.10131835938,258.381256103516,169.775085449219,-1050.09204101562,73.2704086303711,310.819152832031,-1621.82727050781,103.996780395508,209.269073486328,-1237.79138183594,1448.80908203125,216.408142089844,-1254.74914550781,1284.59619140625
87,0.87,216.291473388672,-1293.357421875,923.228820800781,225.591537475586,-1275.01000976562,1056.923828125,149.95703125,-1181.61206054688,505.815338134766,149.488510131836,-1283.37585449219,926.707153320312,185.390441894531,-1209.57873535156,81.1733169555664,283.094421386719,-1303.33862304688,919.750305175781,305.484710693359,-1318.10424804688,482.248168945312,279.597229003906,-1635.91955566406,260.041961669922,169.515350341797,-1049.68505859375,72.9381256103516,312.108215332031,-1589.640625,107.041374206543,209.354019165039,-1224.85107421875,1451.17590332031,216.267822265625,-1241.57678222656,1287.01135253906
88,0.88,216.004425048828,-1280.39868164062,925.613342285156,224.621795654297,-1262.09790039062,1059.36047363281,149.174057006836,-1176.76281738281,505.644989013672,149.151596069336,-1270.65283203125,928.788330078125,185.227981567383,-1209.08898925781,81.1195907592773,282.857269287109,-1290.14440917969,922.438293457031,305.188140869141,-1290.712890625,485.483520507812,278.449432373047,-1605.83288574219,260.090240478516,169.210540771484,-1049.22509765625,72.585578918457,313.059783935547,-1556.00268554688,108.673713684082,209.444869995117,-1211.98962402344,1453.46472167969,216.135177612305,-1228.4833984375,1289.33520507812
89,0.89,215.709457397461,-1267.48828125,927.913757324219,223.645797729492,-1249.23266601562,1061.70910644531,148.324584960938,-1172.23779296875,505.498596191406,148.804321289062,-1258.01245117188,930.790588378906,185.051910400391,-1208.54479980469,81.0873184204102,282.614593505859,-1276.9638671875,925.036926269531,304.969299316406,-1263.91650390625,489.02197265625,277.373748779297,-1574.92297363281,258.627716064453,168.867660522461,-1048.71643066406,72.2102584838867,313.7177734375,-1520.99267578125,109.033195495605,209.541046142578,-1199.20373535156,1455.66833496094,216.011215209961,-1215.46923828125,1291.56176757812
90,0.9,215.408996582031,-1254.62414550781,930.118347167969,222.668518066406,-1236.41394042969,1063.95837402344,147.416168212891,-1167.98974609375,505.376525878906,148.449584960938,-1245.45239257812,932.703308105469,184.859420776367,-1207.95251464844,81.0827560424805,282.368347167969,-1263.79577636719,927.533203125,304.834808349609,-1237.79223632812,492.783966064453,276.372039794922,-1543.27185058594,255.773483276367,168.495971679688,-1048.16467285156,71.810676574707,314.151611328125,-1484.69909667969,108.295303344727,209.641967773438,-1186.48913574219,1457.77685546875,215.897277832031,-1202.5341796875,1293.68322753906
